weather,mood,action,explanation
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
mưa,không muốn,0,"Bạn không muốn đi và trời mưa, nghỉ ngơi là hợp lý."
nhiều mây,muốn,0,"Bạn muốn đi nhưng thời tiết nhiều mây không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,không muốn,0,"Bạn không muốn đi và trời gió to, nghỉ ngơi là hợp lý."
nắng,vui,1,"Trời nắng và bạn vui vẻ – hãy tận hưởng ngày đẹp trời!"
nắng,muốn,1,"Thời tiết nắng và bạn muốn đi – hãy tận hưởng!"
mưa,muốn,0,"Bạn muốn đi nhưng trời mưa không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,buồn,0,"Bạn đang buồn, thời tiết nắng không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nhiều mây,không muốn,0,"Bạn không muốn đi và trời nhiều mây, nghỉ ngơi là hợp lý."
mưa,chán,0,"Bạn đang chán, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,muốn,1,"Thời tiết nắng và bạn muốn đi – hãy tận hưởng!"
nhiều mây,vui,1,"Tâm trạng bạn đang vui và trời nhiều mây – một dịp tốt để ra ngoài thư giãn!"
gió to,không muốn,0,"Bạn không muốn đi và trời gió to, nghỉ ngơi là hợp lý."
mưa,buồn,0,"Bạn đang buồn, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
gió to,muốn,0,"Bạn muốn đi nhưng thời tiết gió to không thuận lợi, nên ở nhà nghỉ ngơi."
nắng,muốn,1,"Thời tiết nắng và bạn muốn đi – hãy tận hưởng!"
nhiều mây,buồn,0,"Bạn đang buồn, thời tiết nhiều mây không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
mưa,không muốn,0,"Bạn không muốn đi và trời mưa, nghỉ ngơi là hợp lý."
gió to,muốn,0,"Bạn muốn đi nhưng thời tiết gió to không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nhiều mây,không muốn,0,"Bạn không muốn đi và trời nhiều mây, nghỉ ngơi là hợp lý."
mưa,vui,0,"Dù bạn đang vui, nhưng trời mưa không thuận lợi để đi ra ngoài."
nhiều mây,rất muốn,0,"Dù bạn rất muốn đi, nhưng trời nhiều mây không phù hợp – nên cân nhắc."
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,rất muốn,1,"Trời nắng và bạn rất muốn đi – thật lý tưởng!"
nhiều mây,vui,1,"Tâm trạng bạn đang vui và trời nhiều mây – một dịp tốt để ra ngoài thư giãn!"
mưa,không muốn,0,"Bạn không muốn đi và trời mưa, nghỉ ngơi là hợp lý."
mưa,chán,0,"Bạn đang chán, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,vui,1,"Trời nắng và bạn vui vẻ – hãy tận hưởng ngày đẹp trời!"
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
gió to,muốn,0,"Bạn muốn đi nhưng thời tiết gió to không thuận lợi, nên ở nhà nghỉ ngơi."
mưa,muốn,0,"Bạn muốn đi nhưng thời tiết mưa không thuận lợi, nên ở nhà nghỉ ngơi."
mưa,vui,0,"Dù bạn đang vui, nhưng trời mưa không thuận lợi để đi ra ngoài."
nhiều mây,không muốn,0,"Bạn không muốn đi và trời nhiều mây, nghỉ ngơi là hợp lý."
nhiều mây,muốn,0,"Bạn muốn đi nhưng thời tiết nhiều mây không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,vui,0,"Dù bạn đang vui, nhưng trời gió to không thuận lợi để đi ra ngoài."
nhiều mây,chán,0,"Bạn đang chán, thời tiết nhiều mây không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
gió to,không muốn,0,"Bạn không muốn đi và trời gió to, nghỉ ngơi là hợp lý."
mưa,buồn,0,"Bạn đang buồn, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nhiều mây,vui,1,"Tâm trạng bạn đang vui và trời nhiều mây – một dịp tốt để ra ngoài thư giãn!"
nắng,chán,0,"Bạn đang chán, thời tiết nắng không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
mưa,vui,0,"Dù bạn đang vui, nhưng trời mưa không thuận lợi để đi ra ngoài."
mưa,chán,0,"Bạn đang chán, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
gió to,không muốn,0,"Bạn không muốn đi và trời gió to, nghỉ ngơi là hợp lý."
nắng,rất muốn,1,"Trời nắng và bạn rất muốn đi – thật lý tưởng!"
mưa,không muốn,0,"Bạn không muốn đi và trời mưa, nghỉ ngơi là hợp lý."
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
gió to,không muốn,0,"Bạn không muốn đi và trời gió to, nghỉ ngơi là hợp lý."
nhiều mây,rất muốn,0,"Dù bạn rất muốn đi, nhưng trời nhiều mây không phù hợp – nên cân nhắc."
nắng,không muốn,0,"Bạn không muốn đi và trời nắng, nghỉ ngơi là hợp lý."
gió to,chán,0,"Bạn đang chán, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
mưa,không muốn,0,"Bạn không muốn đi và trời mưa, nghỉ ngơi là hợp lý."
nhiều mây,buồn,0,"Bạn đang buồn, thời tiết nhiều mây không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nhiều mây,muốn,0,"Bạn muốn đi nhưng thời tiết nhiều mây không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,muốn,0,"Bạn muốn đi nhưng thời tiết gió to không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,vui,0,"Dù bạn đang vui, nhưng trời gió to không thuận lợi để đi ra ngoài."
mưa,muốn,0,"Bạn muốn đi nhưng thời tiết mưa không thuận lợi, nên ở nhà nghỉ ngơi."
