weather,mood,action,explanation
gió to,buồn,0,"Bạn đang buồn, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
mưa,không muốn,0,"Bạn không muốn đi và trời mưa, nghỉ ngơi là hợp lý."
nhiều mây,muốn,0,"Bạn muốn đi nhưng thời tiết nhiều mây không thuận lợi, nên ở nhà nghỉ ngơi."
gió to,không muốn,0,"Bạn không muốn đi và trời gió to, nghỉ ngơi là hợp lý."
nắng,vui,1,Trời nắng và bạn vui vẻ – hãy tận hưởng ngày đẹp trời!
nắng,muốn,1,Thời tiết nắng và bạn muốn đi – hãy tận hưởng!
mưa,muốn,0,"Bạn muốn đi nhưng trời mưa không thuận lợi, nên ở nhà nghỉ ngơi."
nắng,buồn,0,"Bạn đang buồn, thời tiết nắng không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nhiều mây,không muốn,0,"Bạn không muốn đi và trời nhiều mây, nghỉ ngơi là hợp lý."
mưa,chán,0,"Bạn đang chán, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nhiều mây,vui,1,Tâm trạng bạn đang vui và trời nhiều mây – một dịp tốt để ra ngoài thư giãn!
mưa,buồn,0,"Bạn đang buồn, thời tiết mưa không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
gió to,muốn,0,"Bạn muốn đi nhưng thời tiết gió to không thuận lợi, nên ở nhà nghỉ ngơi."
nhiều mây,buồn,0,"Bạn đang buồn, thời tiết nhiều mây không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
mưa,vui,0,"Dù bạn đang vui, nhưng trời mưa không thuận lợi để đi ra ngoài."
nhiều mây,rất muốn,0,"Dù bạn rất muốn đi, nhưng trời nhiều mây không phù hợp – nên cân nhắc."
nắng,rất muốn,1,Trời nắng và bạn rất muốn đi – thật lý tưởng!
gió to,vui,0,"Dù bạn đang vui, nhưng trời gió to không thuận lợi để đi ra ngoài."
nhiều mây,chán,0,"Bạn đang chán, thời tiết nhiều mây không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,chán,0,"Bạn đang chán, thời tiết nắng không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,không muốn,0,"Bạn không muốn đi và trời nắng, nghỉ ngơi là hợp lý."
gió to,chán,0,"Bạn đang chán, thời tiết gió to không lý tưởng – hãy nghỉ ngơi và chăm sóc bản thân."
nắng,mệt,0,"Bạn đang mệt và trời nắng, nên nghỉ ngơi để hồi phục sức khỏe."
mưa,mệt,0,Bạn đang mệt và trời mưa – ở nhà nghỉ ngơi là lựa chọn tốt nhất.
gió to,mệt,0,"Thời tiết gió to và bạn đang mệt, hãy ở nhà và chăm sóc bản thân."
nhiều mây,mệt,0,"Bạn đang mệt và trời nhiều mây, không nên ra ngoài lúc này."
trời sấm,mệt,0,"Bạn đang mệt và trời sấm, tốt nhất nên ở nhà nghỉ ngơi."
bão,mệt,0,"Thời tiết đang có bão, bạn lại mệt – không nên ra ngoài."
trời sấm,không muốn,0,"Bạn không muốn và trời sấm, hãy cứ ở nhà nghỉ ngơi."
bão,không muốn,0,"Với tâm trạng không muốn và bão ngoài trời, ở nhà là tốt nhất."
trời sấm,muốn,0,Dù bạn muốn nhưng trời sấm không an toàn để ra ngoài.
bão,muốn,0,"Bạn có động lực, nhưng bão to không nên mạo hiểm."
trời sấm,vui,0,Bạn vui nhưng thời tiết sấm sét không phù hợp để ra ngoài.
bão,vui,0,"Vui vẻ là chưa đủ, bão vẫn là lý do nên ở trong nhà."
trời sấm,buồn,0,Trời sấm càng khiến nỗi buồn nặng hơn – hãy ở nhà và thư giãn.
bão,buồn,0,Bạn đang buồn và ngoài trời có bão – hãy tự chăm sóc bản thân ở nhà.
trời sấm,chán,0,"Bạn chán và trời sấm, nên thử đọc sách hay xem phim ở nhà."
bão,chán,0,Bão không phải lúc thích hợp để ra ngoài dù bạn đang chán.
âm u,chán,0,Không khí u ám làm bạn càng thêm chán – hãy thư giãn trong nhà.
đẹp,rất muốn,1,"Ngày đẹp trời, mọi thứ đều dễ dàng đạt được – bạn thật sự muốn tận hưởng."
đẹp,không muốn,0,Trời đẹp nhưng tâm trạng lại không như mong đợi – không muốn làm gì cả.
đẹp,muốn,1,"Với thời tiết đẹp như thế này, mọi thứ dường như trở nên dễ dàng hơn."
đẹp,thèm,1,"Mong muốn được tận hưởng ngày đẹp trời này, đi dạo hay làm gì đó thú vị."
đẹp,mong muốn,1,"Trời đẹp, mọi thứ đều khả thi – chỉ muốn làm điều mình thích."
đẹp,vui,1,"Thời tiết này thật sự làm bạn vui vẻ, mọi thứ trở nên tươi sáng hơn."
đẹp,buồn,0,Ngày đẹp nhưng bạn lại cảm thấy lạc lõng và buồn bã.
đẹp,hứng thú,1,Cảm giác thích thú khi nhìn ra ngoài – một ngày tuyệt vời để thử nghiệm điều gì đó mới.
đẹp,mệt,0,"Dù trời đẹp, nhưng bạn cảm thấy mệt mỏi và chỉ muốn nghỉ ngơi."
đẹp,khó chịu,0,Trời đẹp nhưng bạn cảm thấy mọi thứ đều không thoải mái – khó chịu quá.
đẹp,chán,0,"Ngày đẹp, nhưng cảm giác chán nản vẫn không thể thay đổi."
lạnh,rất muốn,0,Không khí lạnh làm tôi muốn tìm một nơi ấm áp để nghỉ ngơi.
lạnh,không muốn,1,"Trời lạnh thế này, tôi không muốn ra ngoài chút nào."
lạnh,muốn,0,Cảm giác lạnh làm tôi muốn tìm một cốc cà phê nóng.
lạnh,thèm,0,Tôi thèm cảm giác ấm áp của một chiếc chăn mềm mại lúc này.
lạnh,mong muốn,1,Mong sao có một ngôi nhà ấm áp để tránh cơn lạnh này.
lạnh,vui,0,Không khí lạnh làm tôi thấy dễ chịu và thư giãn hơn.
lạnh,buồn,1,Ngày lạnh như này khiến tâm trạng tôi thêm buồn bã.
lạnh,hứng thú,1,"Lạnh quá, nhưng tôi vẫn muốn đi khám phá những nơi mới!"
lạnh,mệt,1,"Tôi cảm thấy mệt mỏi hơn trong cái lạnh này, muốn nghỉ ngơi."
lạnh,khó chịu,0,"Cái lạnh làm tôi cảm thấy khó chịu, tôi cần một nơi ấm áp."
lạnh,chán,1,Trời lạnh khiến tôi cảm thấy không có động lực làm gì cả.
mưa phùn,rất muốn,0,Tiếng mưa phùn nhẹ làm tôi rất muốn ở nhà thư giãn.
